order_id,order_code,order_date,order_status,order_description,buyer_id,buyer_name,buyer_phone,buyer_address,buyer_email,buyer_discount_%,employee_id,employee_fio,employee_phone,employee_experience,employee_hire_date,position_name,position_salary_min,position_salary_max,item_id,product_id,product_name,product_price,product_stock,product_min_stock,quantity_ordered,price_at_order,line_total,category_name,category_description,supplier_name,supplier_address,supplier_phone,supplier_email,supplier_rating
9,ORD2024009,2024-11-12 12:20:00,В обработке,Игрушки,9,Смирнова Ольга Александровна,+79169012345,'Ростов-на-Дону,ул. Пушкинская,д. 66,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,16,17,Конструктор LEGO Classic,3200.00,60,20,10,3200.00,32000.0,Игрушки,Детские игрушки и развлечения,"ООО ""МегаПоставка""",'Ростов-на-Дону,ул. Большая Садовая,д. 99',+78632901234
9,ORD2024009,2024-11-12 12:20:00,В обработке,Игрушки,9,Смирнова Ольга Александровна,+79169012345,'Ростов-на-Дону,ул. Пушкинская,д. 66,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,17,18,Кукла Barbie,1500.00,70,25,15,1500.00,22500.0,Игрушки,Детские игрушки и развлечения,"ООО ""МегаПоставка""",'Ростов-на-Дону,ул. Большая Садовая,д. 99',+78632901234
10,ORD2024010,2024-11-14 09:00:00,Подтвержден,Автотовары,10,Васильев Александр Иванович,+79160123456,'Уфа,ул. Ленина,д. 25,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,18,19,Моторное масло 5W-40 4л,2100.00,90,30,10,2100.00,21000.0,Автотовары,Товары для автомобилей,"Компания ""Альфа-Дистрибуция""",'Уфа,ул. Ленина,д. 11',+73472012345
10,ORD2024010,2024-11-14 09:00:00,Подтвержден,Автотовары,10,Васильев Александр Иванович,+79160123456,'Уфа,ул. Ленина,д. 25,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,19,20,Автомобильный аккумулятор,6500.00,25,8,2,6500.00,13000.0,Автотовары,Товары для автомобилей,"Компания ""Альфа-Дистрибуция""",'Уфа,ул. Ленина,д. 11',+73472012345
11,ORD2024011,2024-11-15 14:30:00,В обработке,Продукты питания,11,Федорова Мария Николаевна,+79161234501,'Волгоград,ул. Мира,д. 40,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,20,11,Кофе Jacobs Monarch 250г,380.00,150,30,30,380.00,11400.0,Продукты питания,Продовольственные товары,"ООО ""СтройМатериалы+""",'Краснодар,ул. Красная,д. 77',+78612678901
11,ORD2024011,2024-11-15 14:30:00,В обработке,Продукты питания,11,Федорова Мария Николаевна,+79161234501,'Волгоград,ул. Мира,д. 40,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,21,12,Чай Greenfield 100пак,250.00,200,40,50,250.00,12500.0,Продукты питания,Продовольственные товары,,,,,
12,ORD2024012,2024-11-16 11:45:00,Подтвержден,Крупный корпоративный заказ,12,"ЗАО ""ТехПром""",+79162345612,'Пермь,ул. Ленина,д. 88,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,22,1,,,,,5,45000.00,225000.0,,,,,,,
12,ORD2024012,2024-11-16 11:45:00,Подтвержден,Крупный корпоративный заказ,12,"ЗАО ""ТехПром""",+79162345612,'Пермь,ул. Ленина,д. 88,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,23,7,Принтер HP LaserJet,16500.00,18,5,3,15000.00,45000.0,,,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
12,ORD2024012,2024-11-16 11:45:00,Подтвержден,Крупный корпоративный заказ,12,"ЗАО ""ТехПром""",+79162345612,'Пермь,ул. Ленина,д. 88,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,24,5,Офисное кресло Comfort Pro,12000.00,30,8,20,12000.00,240000.0,Мебель,Офисная и домашняя мебель,ИП Иванов А.С.,'Казань,ул. Баумана,д. 44',+78432567890
13,ORD2024013,2024-11-17 09:15:00,доставлен,офисная техника для дома,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,26,7,Принтер HP LaserJet,16500.00,18,5,1,16500.00,16500.0,,,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
14,ORD2024014,2024-11-18 14:20:00,отправлен,электроника и аксессуары,1,,,,,,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,27,2,Смартфон Samsung Galaxy A52,30800.00,40,10,1,30800.00,30800.0,,,,,,,
14,ORD2024014,2024-11-18 14:20:00,отправлен,электроника и аксессуары,1,,,,,,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,28,26,мышка logitech,2500.00,20,3,2,2500.00,5000.0,,,,,,,
15,ORD2024015,2024-11-19 11:30:00,подтвержден,канцелярские товары,1,,,,,,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,29,8,Набор ручек Parker 10шт,1500.00,100,20,5,1500.00,7500.0,Канцелярия,Канцелярские товары и принадлежности,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
15,ORD2024015,2024-11-19 11:30:00,подтвержден,канцелярские товары,1,,,,,,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,30,27,микрофон fifine,14000.00,10,2,1,14000.00,14000.0,,,,,,,
16,ORD2024016,2024-11-20 16:45:00,в обработке,компьютерные комплектующие,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,31,25,Телефон Realme neo 3t,24200.00,0,10,1,24200.00,24200.0,,,"ЗАО ""Партнер Групп""",'Пермь,ул. Комсомольский проспект,д. 45',+73422234567
16,ORD2024016,2024-11-20 16:45:00,в обработке,компьютерные комплектующие,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,32,26,мышка logitech,2500.00,20,3,1,2500.00,2500.0,,,,,,,
17,ORD2024017,2024-11-21 10:00:00,доставлен,бытовая техника,1,,,,,,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,33,4,Холодильник Samsung,35000.00,12,3,1,35000.00,35000.0,Бытовая техника,Техника для дома и кухни,"ЗАО ""МетроОпт""",'Санкт-Петербург,пр. Невский,д. 88',+78123456789
17,ORD2024017,2024-11-21 10:00:00,доставлен,бытовая техника,1,,,,,,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,34,11,Кофе Jacobs Monarch 250г,380.00,150,30,3,380.00,1140.0,Продукты питания,Продовольственные товары,"ООО ""СтройМатериалы+""",'Краснодар,ул. Красная,д. 77',+78612678901
18,ORD2024018,2024-11-22 13:25:00,отправлен,товары для офиса,1,,,,,,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,35,5,Офисное кресло Comfort Pro,12000.00,30,8,2,12000.00,24000.0,Мебель,Офисная и домашняя мебель,ИП Иванов А.С.,'Казань,ул. Баумана,д. 44',+78432567890
18,ORD2024018,2024-11-22 13:25:00,отправлен,товары для офиса,1,,,,,,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,36,6,Письменный стол Монако,18000.00,20,5,1,18000.00,18000.0,Мебель,Офисная и домашняя мебель,ИП Иванов А.С.,'Казань,ул. Баумана,д. 44',+78432567890
19,ORD2024019,2024-11-23 15:10:00,подтвержден,электронные гаджеты,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,37,27,микрофон fifine,14000.00,10,2,2,14000.00,28000.0,,,,,,,
19,ORD2024019,2024-11-23 15:10:00,подтвержден,электронные гаджеты,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,38,26,мышка logitech,2500.00,20,3,3,2500.00,7500.0,,,,,,,
20,ORD2024020,2024-11-24 12:35:00,в обработке,оргтехника,1,,,,,,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,39,7,Принтер HP LaserJet,16500.00,18,5,1,16500.00,16500.0,,,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
20,ORD2024020,2024-11-24 12:35:00,в обработке,оргтехника,1,,,,,,6,Морозова Анастасия Сергеевна,+74956666666,6 лет,2018-11-05,,,,40,8,Набор ручек Parker 10шт,1500.00,100,20,10,1500.00,15000.0,Канцелярия,Канцелярские товары и принадлежности,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
21,ORD2024021,2024-11-25 08:50:00,доставлен,компьютерная периферия,1,,,,,,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,41,1,,,,,1,90000.00,90000.0,,,,,,,
21,ORD2024021,2024-11-25 08:50:00,доставлен,компьютерная периферия,1,,,,,,12,Зайцева Виктория Дмитриевна,+74952020202,2 года,2022-03-08,,,,42,2,Смартфон Samsung Galaxy A52,30800.00,40,10,1,30800.00,30800.0,,,,,,,
22,ORD2024022,2024-11-26 17:05:00,отправлен,различная электроника,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,43,25,Телефон Realme neo 3t,24200.00,0,10,2,24200.00,48400.0,,,"ЗАО ""Партнер Групп""",'Пермь,ул. Комсомольский проспект,д. 45',+73422234567
22,ORD2024022,2024-11-26 17:05:00,отправлен,различная электроника,1,,,,,,2,Иванова Марина Александровна,+74952222222,3 года,2021-06-01,,,,44,27,микрофон fifine,14000.00,10,2,1,14000.00,14000.0,,,,,,,
23,ORD202486986,2024-07-22 21:56:00,Доставлен,Бытовая техника,48,Воробьев Сергей Андреевич,+79664305700,'Краснодар,ул. Садовая,д. 18,893,Голубева Анна Ивановна,+79255087783,1 год,2004-01-11,Менеджер по складу,38000.00,65000.00,45,90,Тостер Electrolux,3892.44,85,10,7,49776.58,348436.06,Автотовары,Товары для автомобилей,"ООО ""БизнесЛайн""",'Волгоград,пр. Ленина,д. 66',+78442123456
24,ORD202524223,2024-07-30 04:00:00,Доставлен,Зоотовары,829,Виноградова Людмила Николаевна,+79023116002,'Казань,пр. Ленина,д. 129,855,Лебедев Николай Михайлович,+79939435412,6 лет,2021-03-07,Менеджер по складу,38000.00,65000.00,46,415,Нож поварской Adidas,2908.03,13,20,15,67996.80,1019952.0,Садовый инвентарь,Товары для сада и огорода,"ООО ""НовыйПоставщик""",'Москва,ул. Новая,д. 1',+79991234567
24,ORD202524223,2024-07-30 04:00:00,Доставлен,Зоотовары,829,Виноградова Людмила Николаевна,+79023116002,'Казань,пр. Ленина,д. 129,855,Лебедев Николай Михайлович,+79939435412,6 лет,2021-03-07,Менеджер по складу,38000.00,65000.00,47,270,Бумага А4 Adidas (500л),495.28,59,5,17,62188.25,1057200.25,Кухонная техника,'Микроволновки,"ООО ""МегаПоставка""",'Ростов-на-Дону,ул. Большая Садовая,д. 99',+78632901234
24,ORD202524223,2024-07-30 04:00:00,Доставлен,Зоотовары,829,Виноградова Людмила Николаевна,+79023116002,'Казань,пр. Ленина,д. 129,855,Лебедев Николай Михайлович,+79939435412,6 лет,2021-03-07,Менеджер по складу,38000.00,65000.00,48,47,Будильник Canon,516.72,12,10,15,58987.58,884813.7,Книги и учёба,'Учебники,"ООО ""СтройМатериалы+""",'Краснодар,ул. Красная,д. 77',+78612678901
24,ORD202524223,2024-07-30 04:00:00,Доставлен,Зоотовары,829,Виноградова Людмила Николаевна,+79023116002,'Казань,пр. Ленина,д. 129,855,Лебедев Николай Михайлович,+79939435412,6 лет,2021-03-07,Менеджер по складу,38000.00,65000.00,49,900,Нож поварской Wilson,2778.54,139,20,12,22225.84,266710.08,Садовый инвентарь,Товары для сада и огорода,"ООО ""БизнесЛайн""",'Волгоград,пр. Ленина,д. 66',+78442123456
25,ORD202594390,2024-05-07 21:41:00,Отменён,Садовый инвентарь,78,Соколов Артём Сергеевич,+79303916107,'Ростов-на-Дону,ул. Мира,д. 41,114,Козлов Виктор Павлович,+79526701478,5 лет,2005-01-05,Водитель-экспедитор,32000.00,48000.00,50,257,Датчик движения Electrolux,2610.03,143,5,3,9878.83,29636.49,Спортивные товары,Товары для спорта и активного отдыха,"ЗАО ""МетроОпт""",'Санкт-Петербург,пр. Невский,д. 88',+78123456789
25,ORD202594390,2024-05-07 21:41:00,Отменён,Садовый инвентарь,78,Соколов Артём Сергеевич,+79303916107,'Ростов-на-Дону,ул. Мира,д. 41,114,Козлов Виктор Павлович,+79526701478,5 лет,2005-01-05,Водитель-экспедитор,32000.00,48000.00,51,363,Свитч Xiaomi,5021.39,145,15,7,69386.04,485702.28,Бытовая техника,Техника для дома и кухни,"ЗАО ""Партнер Групп""",'Пермь,ул. Комсомольский проспект,д. 45',+73422234567
25,ORD202594390,2024-05-07 21:41:00,Отменён,Садовый инвентарь,78,Соколов Артём Сергеевич,+79303916107,'Ростов-на-Дону,ул. Мира,д. 41,114,Козлов Виктор Павлович,+79526701478,5 лет,2005-01-05,Водитель-экспедитор,32000.00,48000.00,52,778,SSD Logitech 512GB,8482.85,85,10,17,44147.84,750513.28,Одежда и обувь,Текстильные изделия и обувь,"ЗАО ""МетроОпт""",'Санкт-Петербург,пр. Невский,д. 88',+78123456789
26,ORD202489753,2024-12-25 04:40:00,Отправлен,Гаджеты и аксессуары,963,Виноградов Алексей Сергеевич,+79456980829,'Уфа,ул. Молодёжная,д. 36,729,Волков Андрей Николаевич,+79238025190,10 лет,2017-02-06,Грузчик,25000.00,35000.00,53,392,Шредер Makita,7504.30,194,10,12,84399.79,1012797.48,Климатическая техника,'Кондиционеры,"ООО ""БизнесЛайн""",'Волгоград,пр. Ленина,д. 66',+78442123456
26,ORD202489753,2024-12-25 04:40:00,Отправлен,Гаджеты и аксессуары,963,Виноградов Алексей Сергеевич,+79456980829,'Уфа,ул. Молодёжная,д. 36,729,Волков Андрей Николаевич,+79238025190,10 лет,2017-02-06,Грузчик,25000.00,35000.00,54,243,Ковёр DeWalt 200x300,13660.43,64,20,5,85046.79,425233.95,Телефония,'Телефоны,"ООО ""МегаПоставка""",'Ростов-на-Дону,ул. Большая Садовая,д. 99',+78632901234
26,ORD202489753,2024-12-25 04:40:00,Отправлен,Гаджеты и аксессуары,963,Виноградов Алексей Сергеевич,+79456980829,'Уфа,ул. Молодёжная,д. 36,729,Волков Андрей Николаевич,+79238025190,10 лет,2017-02-06,Грузчик,25000.00,35000.00,55,7,Принтер HP LaserJet,16500.00,18,5,11,14687.90,161566.9,,,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
26,ORD202489753,2024-12-25 04:40:00,Отправлен,Гаджеты и аксессуары,963,Виноградов Алексей Сергеевич,+79456980829,'Уфа,ул. Молодёжная,д. 36,729,Волков Андрей Николаевич,+79238025190,10 лет,2017-02-06,Грузчик,25000.00,35000.00,56,735,Картридж для принтера ASUS,2344.88,114,3,3,5500.48,16501.44,Кухонная техника,'Микроволновки,"ООО ""ГлобалТрейд""",'Новосибирск,ул. Красный проспект,д. 12',+73832345678
27,ORD202567092,2024-08-06 04:19:00,Отменён,Мебель для офиса,502,Соколова Татьяна Сергеевна,+79686354444,'Самара,ул. Центральная,д. 31,601,Петрова Людмила Алексеевна,+79307738624,2 года,2004-02-10,Администратор,30000.00,50000.00,57,722,Чемодан Stanley L,11633.53,46,15,18,75823.16,1364816.88,Зоотовары,'Корм,"ООО ""МегаПоставка""",'Ростов-на-Дону,ул. Большая Садовая,д. 99',+78632901234
27,ORD202567092,2024-08-06 04:19:00,Отменён,Мебель для офиса,502,Соколова Татьяна Сергеевна,+79686354444,'Самара,ул. Центральная,д. 31,601,Петрова Людмила Алексеевна,+79307738624,2 года,2004-02-10,Администратор,30000.00,50000.00,58,147,Пленка для ламинатора Kingston,564.23,166,20,8,18918.08,151344.64,Кухонная техника,'Микроволновки,"Компания ""Восток-Запад""",'Екатеринбург,ул. Малышева,д. 33',+73432456789
27,ORD202567092,2024-08-06 04:19:00,Отменён,Мебель для офиса,502,Соколова Татьяна Сергеевна,+79686354444,'Самара,ул. Центральная,д. 31,601,Петрова Людмила Алексеевна,+79307738624,2 года,2004-02-10,Администратор,30000.00,50000.00,59,63,Шурупы Apple 4x50 (200шт),495.69,26,10,7,24756.13,173292.91,Хранение данных,'SSD,"ООО ""НовыйПоставщик""",'Москва,ул. Новая,д. 1',+79991234567
27,ORD202567092,2024-08-06 04:19:00,Отменён,Мебель для офиса,502,Соколова Татьяна Сергеевна,+79686354444,'Самара,ул. Центральная,д. 31,601,Петрова Людмила Алексеевна,+79307738624,2 года,2004-02-10,Администратор,30000.00,50000.00,60,871,Поводок WD,754.83,42,5,18,60220.04,1083960.72,Посуда и кухня,'Кастрюли,"Компания ""Восток-Запад""",'Екатеринбург,ул. Малышева,д. 33',+73432456789
28,ORD202438251,2025-05-13 18:12:00,Отправлен,Спортивное питание,206,Лебедев Андрей Иванович,+79527987842,'Ростов-на-Дону,ул. Молодёжная,д. 35,625,Козлова Виктория Михайловна,+79405832385,15 лет,2018-12-05,Водитель-экспедитор,32000.00,48000.00,61,590,Синтезатор Bosch,17778.32,180,10,8,88499.83,707998.64,Крепёж и метизы,'Шурупы,"Компания ""Альфа-Дистрибуция""",'Уфа,ул. Ленина,д. 11',+73472012345
28,ORD202438251,2025-05-13 18:12:00,Отправлен,Спортивное питание,206,Лебедев Андрей Иванович,+79527987842,'Ростов-на-Дону,ул. Молодёжная,д. 35,625,Козлова Виктория Михайловна,+79405832385,15 лет,2018-12-05,Водитель-экспедитор,32000.00,48000.00,62,504,Фотовспышка Huawei,7167.51,143,20,4,87796.56,351186.24,Мебель,Офисная и домашняя мебель,"ООО ""БизнесЛайн""",'Волгоград,пр. Ленина,д. 66',+78442123456
28,ORD202438251,2025-05-13 18:12:00,Отправлен,Спортивное питание,206,Лебедев Андрей Иванович,+79527987842,'Ростов-на-Дону,ул. Молодёжная,д. 35,625,Козлова Виктория Михайловна,+79405832385,15 лет,2018-12-05,Водитель-экспедитор,32000.00,48000.00,63,253,Лак паркетный Huawei 2л,3639.09,151,20,3,72202.50,216607.5,Комплектующие ПК,'Процессоры,"ЗАО ""МетроОпт""",'Санкт-Петербург,пр. Невский,д. 88',+78123456789
28,ORD202438251,2025-05-13 18:12:00,Отправлен,Спортивное питание,206,Лебедев Андрей Иванович,+79527987842,'Ростов-на-Дону,ул. Молодёжная,д. 35,625,Козлова Виктория Михайловна,+79405832385,15 лет,2018-12-05,Водитель-экспедитор,32000.00,48000.00,64,416,Увлажнитель воздуха Sony,4845.13,176,10,20,81991.79,1639835.8,Игрушки,Детские игрушки и развлечения,,,,,
29,ORD202561999,2024-07-19 08:23:00,Отменён,Продукты питания,277,Кузнецова Людмила Андреевна,+79667929943,'Пермь,пр. Ленина,д. 118,108,Соколова Валентина Ивановна,+79303939552,15 лет,2020-07-14,Администратор,30000.00,50000.00,65,650,Предтренировочный комплекс Xiaomi,3100.21,97,3,2,56417.70,112835.4,Сантехника,'Смесители,"Компания ""Восток-Запад""",'Екатеринбург,ул. Малышева,д. 33',+73432456789
30,ORD202471591,2024-07-12 04:48:00,Подтвержден,Компьютерная периферия,97,Виноградов Николай Павлович,+79222324869,'Уфа,ул. Садовая,д. 62,767,Павлова Ирина Владимировна,+79489963996,2 года,2009-01-27,Начальник отдела логистики,55000.00,90000.00,66,586,Точка доступа Makita,11831.19,132,20,6,13395.03,80370.18,Бытовая техника,Техника для дома и кухни,"ООО ""НовыйПоставщик""",'Москва,ул. Новая,д. 1',+79991234567
30,ORD202471591,2024-07-12 04:48:00,Подтвержден,Компьютерная периферия,97,Виноградов Николай Павлович,+79222324869,'Уфа,ул. Садовая,д. 62,767,Павлова Ирина Владимировна,+79489963996,2 года,2009-01-27,Начальник отдела логистики,55000.00,90000.00,67,451,Видеокарта MSI RTX,27692.65,119,10,13,19930.65,259098.45,Продукты питания,Продовольственные товары,"ООО ""МегаПоставка""",'Ростов-на-Дону,ул. Большая Садовая,д. 99',+78632901234
31,ORD202424342,2024-01-16 05:30:00,Отменён,Одежда и обувь,805,Смирнова Мария Ивановна,+79202473390,'Ростов-на-Дону,ул. Советская,д. 9,324,Соколова Ольга Павловна,+79756089714,3 года,2013-05-24,Грузчик,25000.00,35000.00,68,213,Сканер планшетный Wilson,16155.63,67,5,7,61306.07,429142.49,Климатическая техника,'Кондиционеры,"ЗАО ""ПродТорг""",'Челябинск,пр. Ленина,д. 55',+73512789012
31,ORD202424342,2024-01-16 05:30:00,Отменён,Одежда и обувь,805,Смирнова Мария Ивановна,+79202473390,'Ростов-на-Дону,ул. Советская,д. 9,324,Соколова Ольга Павловна,+79756089714,3 года,2013-05-24,Грузчик,25000.00,35000.00,69,434,Серьги HP,3010.04,112,5,3,51517.55,154552.65,Расходные материалы,'Картриджи,,,,,
